id,filename,filepath,platform,format,cadence,value_modality,signal_tier,status,chain,topics,creator,guest,title,date_published,date_processed,date_integrated,integrated_into,notes
SOURCE-20260101-001,00000000-youtube_video-the_highest_lev-the_highest_levels_of_thinking_explaine.md,raw/00000000-youtube_video-the_highest_lev-the_highest_levels_of_thinking_explaine.md,youtube,solo_presentation,arrhythmic,dialogue_primary,tactical,triaged,information,ai,,,The Highest Levels Of Thinking Explaine,,,,,
SOURCE-20260101-002,00000000-youtube_video-the_next_renais-the_next_renaissance_is_coming.md,raw/00000000-youtube_video-the_next_renais-the_next_renaissance_is_coming.md,youtube,solo_presentation,arrhythmic,dialogue_primary,tactical,triaged,information,ai,,,The Next Renaissance Is Coming,,,,,
SOURCE-20260101-003,00000000-youtube_video-aiexp-new_multi_agent_protocol_rep_by_mit_100_agent.txt,raw/00000000-youtube_video-aiexp-new_multi_agent_protocol_rep_by_mit_100_agent.txt,youtube,solo_presentation,arrhythmic,dialogue_primary,tactical,triaged,expertise,ai,_100+_agents,,New Multi - Agent Protocol (rep By Mit) - 100+ Agents,,,,,
SOURCE-20260101-004,00000000-youtube_video-jsung-how_to_be_so_productive_that_it_makes_you_dan.txt,raw/00000000-youtube_video-jsung-how_to_be_so_productive_that_it_makes_you_dan.txt,youtube,solo_presentation,arrhythmic,dialogue_primary,noise,triaged,expertise,ai,,,How To Be So Productive That It Makes You Dangerous,,,,,
SOURCE-20260101-005,00000000-youtube_video-pow-the_existential_elk_theory.txt,raw/00000000-youtube_video-pow-the_existential_elk_theory.txt,youtube,solo_presentation,arrhythmic,dialogue_primary,noise,triaged,expertise,ai,,,The Existential Elk Theory,,,,,
SOURCE-20260101-006,00000000-youtube_video-tforte-googles_notebooklm_is_getting_even_more_power.txt,raw/00000000-youtube_video-tforte-googles_notebooklm_is_getting_even_more_power.txt,youtube,solo_presentation,arrhythmic,dialogue_primary,noise,triaged,expertise,ai,,,Google’s Notebooklm Is Getting Even More Powerful,,,,,
SOURCE-20260101-007,00000000-youtube_video-nbj-the_ai_expertise_bottleneck_how_top_1_pros_ar.txt,raw/00000000-youtube_video-nbj-the_ai_expertise_bottleneck_how_top_1_pros_ar.txt,youtube,solo_presentation,arrhythmic,dialogue_primary,noise,triaged,intelligence,"scaling_laws,bitter_lesson,ai",,,The Ai Expertise Bottleneck - How Top 1% Pros Are Scaling Faster Than Ever,,,,,
SOURCE-20260101-008,00000000-youtube_tutorial-nbj-claude_skillsfrom_toy_to_tool_grab_my_tutoria.txt,raw/00000000-youtube_tutorial-nbj-claude_skillsfrom_toy_to_tool_grab_my_tutoria.txt,youtube,tutorial,arrhythmic,dialogue_primary,noise,triaged,expertise,ai,,,Claude Skills—from Toy To Tool - Grab My Tutorial + Custom Skills To Help You Build Skills Fast,,,,,
SOURCE-20260101-009,00000000-youtube_video-nbj-i_spent_200_hours_teaching_ai_writinghere_are.txt,raw/00000000-youtube_video-nbj-i_spent_200_hours_teaching_ai_writinghere_are.txt,youtube,solo_presentation,arrhythmic,dialogue_primary,noise,triaged,expertise,ai,,,I Spent 200 Hours Teaching Ai Writing—here Are 6 Principles Everyone Gets Wrong (+ Demo Prompt),,,,,
SOURCE-20260101-010,00000000-youtube_video-ted-i_tes_claude_chatgpts_new_knowledge_connector.txt,raw/00000000-youtube_video-ted-i_tes_claude_chatgpts_new_knowledge_connector.txt,youtube,solo_presentation,arrhythmic,dialogue_primary,noise,triaged,expertise,ai,,,I Tested Claude & Chatgpt's New Knowledge Connectors—here's Your Tldr + Pros & Cons,,,,,
