layer_id,layer_name,altitude,interaction_frequency,description,cognitive_mode
TEXT,TEXT,INTEGER,TEXT,TEXT,TEXT
L0,Mechanics,0,constant,Digital invocation through keyboard shortcuts and launcher utilities,reflexive
L1,Console,1,multiple_daily,Augmented perception via ambient AI and information streams,receptive
L2,Headquarters,2,daily,Intentional architecture of tasks and temporal allocation,deliberative
L3,Index,3,weekly,Knowledge crystallization through networked note systems,associative
L4,Mainframe,4,daily,Creative materialization in specialized production environments,flow
L5,Logistics,5,weekly,Digital circulation of files across storage and devices,infrastructural
L6,Processing,6,occasional,Computational transformation with minimal supervision,delegated
L7,Configuration,7,monthly,Systemic modulation through personalization and automation,tuning
L8,System,8,rare,Operational foundation maintenance and diagnostics,maintenance
L9,Infrastructure,9,rare,Hardware-software interface management,technical
L10,Grid,10,background,Connected presence through network protocols,ambient
