platform_id,platform_name,platform_type,vendor,account,role,has_projects,has_memory,max_context_tokens,status,device,teleology
1,Claude Web,web_app,anthropic,3,INTERPRETER,TRUE,TRUE,200000,ACTIVE,MBA+Mini,Synthesis/ideation/rapport
2,Claude Desktop,desktop_app,anthropic,3,EXECUTOR-LEAD,FALSE,FALSE,200000,ACTIVE,MBA,Opus-tier execution + Cowork
3,Claude Desktop,desktop_app,anthropic,2,PARALLEL-EXEC,FALSE,FALSE,200000,ACTIVE,Mini,Dual Sonnet parallel tasks
4,Claude Code CLI,cli,anthropic,1,EXECUTOR,FALSE,TRUE,200000,ACTIVE,Both,Filesystem sovereignty
5,Claude Chrome Ext,browser_ext,anthropic,3,CAPTURE,FALSE,FALSE,-,ACTIVE,Both,Tab tasks/screenshots
6,Claude Cowork,desktop_app,anthropic,3,BRIDGE,FALSE,FALSE,200000,EVALUATING,MBA,MCP Apps integration
7,ChatGPT Web,web_app,openai,1,COMPILER,TRUE,TRUE,400000,ACTIVE,Both,Mechanical formatting/Canvas
8,ChatGPT Desktop,desktop_app,openai,1,COMPILER,FALSE,FALSE,400000,ACTIVE,Both,Quick dispatch
9,Codex CLI,cli,openai,1,ARCHITECT,FALSE,TRUE,400000,EVALUATING,Both,GitHub-native/spec mode
10,Gemini Web,web_app,google,3,DIGESTOR,TRUE,TRUE,1000000,ACTIVE,Both,Clarity/TTS/Gems+Drive
11,Gemini CLI,cli,google,3,ORACLE,FALSE,FALSE,2000000,ACTIVE,Both,Corpus sensing/evidence
12,Gemini Mobile,mobile_app,google,3,CAPTURE,FALSE,FALSE,1000000,ACTIVE,iPhone15,Quick queries/voice
13,NotebookLM,web_app,google,3,VERIFIER-ALT,FALSE,FALSE,-,EVALUATING,-,Grounded synthesis
14,Grok Web,web_app,xai,1,RED_TEAM,FALSE,FALSE,256000,ACTIVE,Both,Adversarial/X firehose
15,Perplexity Web,web_app,perplexity,-,VERIFIER,FALSE,FALSE,128000,ACTIVE,Both,Citation-backed research
16,Perplexity Desktop,desktop_app,perplexity,-,VERIFIER,FALSE,FALSE,128000,ACTIVE,Both,Same/native
17,OpenClaw (Mini),agent,openclaw,-,LOCAL_ORCHESTRATOR,FALSE,TRUE,400000,ACTIVE,Mini,"Psyche GPT-5.3-codex. System cohesion/automation"
18,OpenClaw (MBA),agent,openclaw,-,LOCAL_ORCHESTRATOR,FALSE,TRUE,256000,ACTIVE,MBA,"Ajna Kimi K2.5. Strategic direction/dispatch"
