entity_id,feature_id,implementation_quality,extraction_priority,extraction_status,notes
TEXT,TEXT,TEXT,TEXT,TEXT,TEXT
# Sample records showing feature-entity relationships
ENT_CUR,FEA_VIM,excellent,low,no_need,Native vim motions work flawlessly
ENT_CUR,FEA_CMD,excellent,low,no_need,Command palette is core to interface
ENT_CUR,FEA_LSP,excellent,low,no_need,Best-in-class language server integration
ENT_CUR,FEA_HOT,good,low,no_need,Customizable but VSCode-style defaults
ENT_VIM,FEA_VIM,reference,high,extracted,The canonical vim motions implementation
ENT_VIM,FEA_HOT,excellent,medium,documented,Modal keybinding system worth studying
ENT_NOT,FEA_TBL,excellent,medium,documented,Database tables paradigm implemented well
ENT_NOT,FEA_BCK,good,medium,considering,Backlink system but not as elegant as Roam
ENT_NOT,FEA_API,excellent,low,no_need,REST API is comprehensive and documented
ENT_NOT,FEA_RTC,excellent,low,no_need,Real-time collaboration is core feature
ENT_OBS,FEA_BCK,excellent,high,extracted,Best backlink implementation for replication
ENT_OBS,FEA_GRF,excellent,high,extracted,Graph view visualization worth cloning
ENT_OBS,FEA_OFF,excellent,high,documented,Local-first architecture is instructive
ENT_RAY,FEA_CMD,excellent,low,no_need,Fuzzy search command palette is primary interface
ENT_RAY,FEA_HOT,excellent,low,no_need,Global hotkey system is well-designed
ENT_RAY,FEA_PLG,good,medium,documented,Extension API enables custom commands
ENT_MID,FEA_API,poor,high,wishlist,No API available—major limitation
ENT_FIG,FEA_RTC,reference,high,extracted,Best real-time collaboration implementation
ENT_FIG,FEA_VER,excellent,medium,documented,Version control system is exemplary
ENT_FIG,FEA_COM,excellent,medium,documented,Commenting system enables async collaboration
