filename	destination
00009.log	syncrescendence-operations
00010.log	syncrescendence-operations
00012.log	syncrescendence-operations
00013.jsonl	ai-memory-retrieval
00014.log	syncrescendence-operations
00016.log	syncrescendence-operations
00148.md	vibe-coding
00260.md	design-taste
00714.jsonl	syncrescendence-operations
00716.md	syncrescendence-operations
00722.md	syncrescendence-operations
00727.jsonl	syncrescendence-operations
00729.log	syncrescendence-operations
00732.jsonl	syncrescendence-operations
00737.jsonl	syncrescendence-operations
00769.csv	ai-capability-futures
00966.log	syncrescendence-operations
00967.log	syncrescendence-operations
00968.log	syncrescendence-operations
00996.log	syncrescendence-operations
01018.log	syncrescendence-operations
01024.log	syncrescendence-operations
01025.log	syncrescendence-operations
01030.log	syncrescendence-operations
01051.log	syncrescendence-operations
01069.jsonl	health-psychology
01070.jsonl	health-psychology
01072.jsonl	ai-memory-retrieval
01073.jsonl	ai-memory-retrieval
01093.jsonl	productivity-pkm
01094.jsonl	productivity-pkm
01105.jsonl	ai-memory-retrieval
01106.jsonl	ai-memory-retrieval
01111.jsonl	productivity-pkm
01112.jsonl	productivity-pkm
01117.jsonl	productivity-pkm
01118.jsonl	productivity-pkm
01126.jsonl	ai-capability-futures
01127.jsonl	ai-capability-futures
01132.jsonl	health-psychology
01133.jsonl	health-psychology
01135.jsonl	health-psychology
01136.jsonl	health-psychology
01144.jsonl	prompt-engineering
01145.jsonl	prompt-engineering
01147.jsonl	ai-memory-retrieval
01148.jsonl	ai-memory-retrieval
01153.jsonl	product-business
01154.jsonl	product-business
01156.jsonl	writing-creation
01157.jsonl	writing-creation
01159.jsonl	meaning-civilization
01160.jsonl	meaning-civilization
01162.jsonl	meaning-civilization
01163.jsonl	meaning-civilization
01171.jsonl	philosophy-esoterica
01172.jsonl	philosophy-esoterica
01177.jsonl	ai-capability-futures
01178.jsonl	ai-capability-futures
01192.jsonl	ai-safety
01193.jsonl	ai-safety
01201.jsonl	meaning-civilization
01202.jsonl	meaning-civilization
01204.jsonl	geopolitics-grand-strategy
01205.jsonl	geopolitics-grand-strategy
01207.jsonl	multi-agent-systems
01208.jsonl	multi-agent-systems
01210.jsonl	ai-capability-futures
01211.jsonl	ai-capability-futures
01213.jsonl	ai-memory-retrieval
01214.jsonl	ai-memory-retrieval
01216.jsonl	design-taste
01217.jsonl	design-taste
01222.jsonl	ai-safety
01223.jsonl	ai-safety
01225.jsonl	infrastructure
01226.jsonl	infrastructure
01228.jsonl	meaning-civilization
01229.jsonl	meaning-civilization
01234.jsonl	ai-capability-futures
01235.jsonl	ai-capability-futures
01237.jsonl	ai-memory-retrieval
01238.jsonl	ai-memory-retrieval
01240.jsonl	meaning-civilization
01241.jsonl	meaning-civilization
01243.jsonl	ai-memory-retrieval
01244.jsonl	ai-memory-retrieval
01246.jsonl	product-business
01247.jsonl	product-business
01249.jsonl	philosophy-esoterica
01250.jsonl	philosophy-esoterica
01252.jsonl	product-business
01253.jsonl	product-business
01255.jsonl	leadership-management
01256.jsonl	leadership-management
01261.jsonl	ai-capability-futures
01262.jsonl	ai-capability-futures
01267.jsonl	leadership-management
01268.jsonl	leadership-management
01270.jsonl	ai-models
01271.jsonl	ai-models
01273.jsonl	infrastructure
01274.jsonl	infrastructure
01285.jsonl	infrastructure
01286.jsonl	infrastructure
01294.jsonl	design-taste
01295.jsonl	design-taste
01297.jsonl	productivity-pkm
01298.jsonl	productivity-pkm
01300.jsonl	ai-capability-futures
01301.jsonl	ai-capability-futures
01303.jsonl	ai-models
01304.jsonl	ai-models
01312.jsonl	product-business
01313.jsonl	product-business
01315.jsonl	ai-biotech
01316.jsonl	ai-biotech
01330.jsonl	writing-creation
01331.jsonl	writing-creation
01333.jsonl	ai-capability-futures
01334.jsonl	ai-capability-futures
01342.jsonl	claude-code
01343.jsonl	claude-code
01345.jsonl	ai-memory-retrieval
01346.jsonl	ai-memory-retrieval
01351.jsonl	meaning-civilization
01352.jsonl	meaning-civilization
01354.jsonl	ai-memory-retrieval
01355.jsonl	ai-memory-retrieval
01357.jsonl	ai-models
01358.jsonl	ai-models
01360.jsonl	infrastructure
01361.jsonl	infrastructure
01363.jsonl	infrastructure
01364.jsonl	infrastructure
01366.jsonl	ai-models
01367.jsonl	ai-models
01372.jsonl	productivity-pkm
01373.jsonl	productivity-pkm
