source_entity_id,target_entity_id,relationship_id,strength,confidence,discovered_date,notes
TEXT,TEXT,TEXT,TEXT,TEXT,DATE,TEXT
# Sample records showing entity relationships
ENT_CUR,MOD_CLS4,REL_POW,critical,high,2024-03-15,Cursor powered by Claude Sonnet for AI features
ENT_CUR,MOD_GPT4,REL_POW,critical,high,2024-03-15,Also supports GPT-4 models
ENT_CLO,MOD_CLS4,REL_POW,critical,high,2024-05-14,Claude Code exclusively uses Claude Sonnet
ENT_NOT,ENT_OBS,REL_COM,strong,high,2023-01-20,Direct competitors for knowledge management
ENT_FIG,ENT_SKE,REL_COM,strong,high,2020-09-10,Both serve UI design but Figma dominates
ENT_CUR,ENT_CLO,REL_CMB,medium,high,2024-06-01,Can use together—Cursor for GUI and Claude Code for CLI
ENT_CUR,ENT_VSC,REL_OBS,strong,high,2023-11-01,Cursor replaces VSCode for most users who adopt it
ENT_RAY,ENT_SPO,REL_COM,medium,medium,2022-08-15,Both launcher utilities but Raycast more capable
ENT_NOT,ENT_ATA,REL_CMB,strong,high,2021-06-10,Notion integrates well with Airtable for data
ENT_NOT,ENT_GOO,REL_ECO,weak,high,2023-03-20,Both use Google accounts but minimal integration
ENT_GPT,MOD_GPT4,REL_POW,critical,high,2023-03-14,ChatGPT powered by GPT-4 Turbo
ENT_CLA,MOD_CLS4,REL_POW,critical,high,2024-05-14,Claude.ai powered by Claude Sonnet 4
ENT_MID,MOD_MID6,REL_POW,critical,high,2024-01-15,Midjourney service powered by v6 model
ENT_OBS,ENT_NOT,REL_ALT,medium,high,2021-09-25,Alternate based on context—local vs cloud preference
ENT_FIG,ENT_FJM,REL_INT,strong,high,2020-01-10,FigJam integrates natively with Figma
ENT_VIM,ENT_CUR,REL_EXT,medium,high,2023-11-01,Cursor extends vim motions with AI capabilities
