entity_id,current_version,release_date,previous_version,days_since_update,update_frequency_days,changelog_url,status_signal,momentum,last_checked
TEXT,TEXT,DATE,TEXT,INTEGER,INTEGER,TEXT,TEXT,TEXT,TIMESTAMP
# Sample records showing entity evolution tracking
ENT_CUR,0.47.2,2025-01-10,0.47.1,6,12,https://cursor.sh/changelog,active,rising,2025-01-16 03:00:00
ENT_NOT,2.39,2024-12-15,2.38,32,45,https://notion.so/releases,active,stable,2025-01-16 03:00:00
ENT_OBS,1.7.4,2024-11-20,1.7.3,57,60,https://obsidian.md/changelog,active,stable,2025-01-16 03:00:00
ENT_RAY,1.86.3,2025-01-08,1.86.2,8,7,https://raycast.com/changelog,active,rising,2025-01-16 03:00:00
ENT_FIG,NA,2025-01-14,NA,2,7,https://figma.com/whats-new,active,stable,2025-01-16 03:00:00
ENT_CLO,1.2.5,2024-12-01,1.2.4,46,30,https://github.com/anthropics/claude-code,active,stable,2025-01-16 03:00:00
ENT_GPT,NA,2025-01-12,NA,4,5,https://help.openai.com/en/,active,rising,2025-01-16 03:00:00
ENT_MID,v6.1,2024-12-20,v6.0,27,90,https://discord.gg/midjourney,active,declining,2025-01-16 03:00:00
MOD_CLS4,claude-sonnet-4-20250514,2025-05-14,claude-sonnet-3.5,NA,NA,https://docs.anthropic.com,unreleased,anticipated,2025-01-16 03:00:00
MOD_GPT4,gpt-4-turbo-2024-04-09,2024-04-09,gpt-4-0125-preview,282,120,https://platform.openai.com,active,stable,2025-01-16 03:00:00
