file,original_words,converted_words,compression_pct,status
CANON-00000-SCHEMA-cosmos.md,8291,3442,60.0,success
CANON-00001-ORIGIN-cosmos.md,1617,612,70.0,success
CANON-00002-LINEAGE-cosmos.md,1908,1122,50.0,success
CANON-00003-PRINCIPLES-cosmos.md,1400,1478,0,success
CANON-00004-EVOLUTION-cosmos.md,1920,1642,20.0,success
CANON-00005-SYNCRESCENDENCE-cosmos.md,12802,1697,90.0,success
CANON-00006-CORPUS-cosmos.md,8678,3949,60.0,success
CANON-00007-EVALUATION-cosmos.md,5686,698,90.0,success
CANON-00008-RESOLUTIONS-cosmos.md,5997,1104,90.0,success
CANON-00009-STRATEGY-cosmos.md,4275,1526,70.0,success
CANON-00010-OPERATIONS-cosmos.md,6177,2397,70.0,success
CANON-00011-ARTIFACT_PROTOCOL-cosmos.md,4254,1574,70.0,success
CANON-00012-MODAL_SEQUENCE-cosmos.md,12422,2837,80.0,success
CANON-00013-QUICKSTART-cosmos.md,4108,1786,60.0,success
CANON-00014-CONTENT_PROTOCOL-cosmos.md,13008,3853,80.0,success
CANON-00015-MACROSCOPIC_NARRATIVES-cosmos.md,4600,3735,20.0,success
CANON-00016-ONTOLOGICAL_FRAMEWORK-cosmos.md,1848,1140,40.0,success
CANON-00017-AGENTIC_CONSTITUTION-cosmos.md,763,944,-20.0,success
CANON-10000-CELESTIAL_BODY-core.md,2353,1322,50.0,success
CANON-11000-FACETS-core.md,1741,1142,40.0,success
CANON-20000-PALACE-lattice.md,1927,990,50.0,success
CANON-20010-DIM_COORDINATORS-satellite-PALACE-lattice.md,1286,958,30.0,success
CANON-20020-META_SYSTEMS-satellite-PALACE-lattice.md,1136,1129,10.0,success
CANON-21000-CHAIN_MATRIX-lattice.md,3915,3117,30.0,success
CANON-21100-TRI_HELIX-lattice.md,1949,971,60.0,success
CANON-22000-INTERFERENCE-lattice.md,2018,829,60.0,success
CANON-23000-LUNAR_NAV-lattice.md,992,646,40.0,success
CANON-24000-OMNI_QUALITY-lattice.md,1159,846,30.0,success
CANON-25000-MEMORY_ARCH-lattice.md,3099,2303,30.0,success
CANON-25010-MEMORY_TELEOLOGY-lattice.md,4472,2513,50.0,success
CANON-25100-CONTEXT_TRANS-lattice.md,2493,2489,10.0,success
CANON-25200-CONSTELLATION_ARCH-lattice.md,1882,1645,20.0,success
CANON-25210-CONSTELLATION_TELEOLOGY-lattice.md,4365,1577,70.0,success
CANON-30000-INTELLIGENCE-chain.md,2303,1241,50.0,success
CANON-30100-ASA-comet-INTELLIGENCE.md,9882,3974,60.0,success
CANON-30200-POSITIONING-comet-INTELLIGENCE.md,5316,1218,80.0,success
