name,provider,api_name,family,context_window,output_token_limit,input_cost_per_1k,output_cost_per_1k,capabilities,supports_vision,supports_extended_thinking,supports_search,release_date,training_cutoff,notes
Claude Opus 4.6,Anthropic,claude-opus-4-6,claude,200000,32000,0.015,0.075,reasoning;coding;analysis;agentic;extended thinking,TRUE,TRUE,FALSE,2025-12-01,2025-05-01,Commander agent model - Claude Max plan
Claude Sonnet 4.5,Anthropic,claude-sonnet-4-5-20250514,claude,200000,16000,0.003,0.015,fast coding;analysis;balanced quality-speed,TRUE,TRUE,FALSE,2025-05-01,2025-03-01,Adjudicator/Codex agent model
Claude Sonnet 4,Anthropic,claude-sonnet-4-20250514,claude,200000,16000,0.003,0.015,coding;analysis;tool use,TRUE,FALSE,FALSE,2025-05-01,2025-03-01,Previous generation Sonnet
Claude Haiku 3.5,Anthropic,claude-3-5-haiku-20241022,claude,200000,8192,0.0008,0.004,fast responses;classification;simple tasks,TRUE,FALSE,FALSE,2024-10-01,2024-04-01,Lightweight tasks
GPT-5.3-codex,OpenAI,gpt-5.3-codex,gpt,128000,32000,0.015,0.060,code generation;system cohesion;deep reasoning,TRUE,TRUE,TRUE,2025-11-01,2025-09-01,Psyche/CTO agent model - ChatGPT Plus
GPT-5,OpenAI,gpt-5,gpt,128000,16000,0.010,0.030,general reasoning;multimodal;tool use,TRUE,TRUE,TRUE,2025-08-01,2025-06-01,OpenAI flagship
o3,OpenAI,o3,o-series,200000,100000,0.010,0.040,deep reasoning;math;coding;chain-of-thought,TRUE,TRUE,FALSE,2025-04-01,2025-01-01,Reasoning-optimized model
o4-mini,OpenAI,o4-mini,o-series,200000,65536,0.001,0.004,fast reasoning;cost-effective CoT,TRUE,TRUE,FALSE,2025-07-01,2025-04-01,Lightweight reasoning
Kimi K2.5,Moonshot AI,kimi-k2.5,kimi,128000,8192,0.002,0.008,multilingual;coding;reasoning;long context,TRUE,FALSE,FALSE,2025-10-01,2025-07-01,Ajna/CSO agent model via NVIDIA NIM
Gemini 2.5 Pro,Google,gemini-2.5-pro,gemini,2000000,65536,0.001,0.004,massive context;multimodal;grounding;code,TRUE,TRUE,TRUE,2025-06-01,2025-03-01,Cartographer agent model - Google AI Pro
Gemini 2.5 Flash,Google,gemini-2.5-flash,gemini,1000000,65536,0.0001,0.0004,fast;cost-effective;multimodal;grounding,TRUE,FALSE,TRUE,2025-05-01,2025-03-01,Lightweight Gemini
Gemini 2.0 Flash,Google,gemini-2.0-flash,gemini,1000000,8192,0.0001,0.0004,multimodal;fast;grounding,TRUE,FALSE,TRUE,2025-02-01,2024-10-01,Previous gen Flash
Llama 4 Maverick,Meta,llama-4-maverick,llama,128000,8192,0.000,0.000,open-source;multilingual;coding;reasoning,TRUE,FALSE,FALSE,2025-04-01,2025-01-01,Open weights - largest Llama
Llama 4 Scout,Meta,llama-4-scout,llama,10000000,8192,0.000,0.000,open-source;ultra-long context;efficient,TRUE,FALSE,FALSE,2025-04-01,2025-01-01,10M context - open weights
DeepSeek R1,DeepSeek,deepseek-r1,deepseek,128000,8192,0.001,0.003,reasoning;math;coding;open weights,FALSE,TRUE,FALSE,2025-01-01,2024-10-01,Open-source reasoning model
Qwen 3,Alibaba,qwen-3,qwen,128000,8192,0.001,0.003,multilingual;coding;reasoning;tool use,TRUE,FALSE,FALSE,2025-05-01,2025-02-01,Strong multilingual open model
Grok-3,xAI,grok-3,grok,128000,8192,0.003,0.015,reasoning;X firehose;real-time data,TRUE,TRUE,TRUE,2025-02-01,2025-01-01,Red team role - adversarial testing
text-embedding-3-small,OpenAI,text-embedding-3-small,embedding,8191,0,0.00002,0.000,text embeddings;1536 dimensions;retrieval,FALSE,FALSE,FALSE,2024-01-01,2024-01-01,Mem0 + file-based vector search embeddings
text-embedding-3-large,OpenAI,text-embedding-3-large,embedding,8191,0,0.00013,0.000,text embeddings;3072 dimensions;high quality,FALSE,FALSE,FALSE,2024-01-01,2024-01-01,Higher quality embeddings
Codestral,Mistral,codestral-latest,mistral,32000,8192,0.001,0.003,code generation;fill-in-middle;32k context,FALSE,FALSE,FALSE,2024-05-01,2024-03-01,Code-specific model
