old_path,old_name,new_name,new_path
/Users/home/Desktop/syncrescendence/SOURCES/raw/20250617-youtube_video-y_combinator-andrej_karpathy.md,20250617-youtube_video-y_combinator-andrej_karpathy.md,SOURCE-20250617-youtube-interview-yc-andrej_karpathy.md,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-20250617-youtube-interview-yc-andrej_karpathy.md
/Users/home/Desktop/syncrescendence/SOURCES/raw/20250617-youtube_video-bilawal_sidhu-harvard_lecture.md,20250617-youtube_video-bilawal_sidhu-harvard_lecture.md,SOURCE-20250617-youtube-lecture-bilawal-harvard_lecture.md,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-20250617-youtube-lecture-bilawal-harvard_lecture.md
/Users/home/Desktop/syncrescendence/SOURCES/raw/dwarkesh_sutton.md,dwarkesh_sutton.md,SOURCE-00000000-youtube-interview-dwarkesh_sutton-dwarkesh_sutton.md,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-00000000-youtube-interview-dwarkesh_sutton-dwarkesh_sutton.md
/Users/home/Desktop/syncrescendence/SOURCES/raw/Untitled 6.md,Untitled 6.md,SOURCE-00000000-youtube-interview-untitled_6md-untitled_6.md,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-00000000-youtube-interview-untitled_6md-untitled_6.md
/Users/home/Desktop/syncrescendence/SOURCES/raw/20250617-youtube_video-bilawal_sidhu-harvard_lecture.txt,20250617-youtube_video-bilawal_sidhu-harvard_lecture.txt,SOURCE-20250617-youtube-lecture-bilawal-harvard_lecture.txt,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-20250617-youtube-lecture-bilawal-harvard_lecture.txt
/Users/home/Desktop/syncrescendence/SOURCES/raw/20250617-youtube_video-y_combinator-andrej_karpathy.txt,20250617-youtube_video-y_combinator-andrej_karpathy.txt,SOURCE-20250617-youtube-interview-yc-andrej_karpathy.txt,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-20250617-youtube-interview-yc-andrej_karpathy.txt
/Users/home/Desktop/syncrescendence/SOURCES/raw/AGI/20251004-youtube_video-dwarkesh_patel-sutton_response.md,20251004-youtube_video-dwarkesh_patel-sutton_response.md,SOURCE-20251004-youtube-interview-dwarkesh-sutton_response.md,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-20251004-youtube-interview-dwarkesh-sutton_response.md
/Users/home/Desktop/syncrescendence/SOURCES/raw/AGI/20250522-youtube_video-dwarkesh_patel-sholto_douglas_&_trenton_bricken.txt,20250522-youtube_video-dwarkesh_patel-sholto_douglas_&_trenton_bricken.txt,SOURCE-20250522-youtube-interview-dwarkesh-sholto_douglas__trenton_bricken.txt,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-20250522-youtube-interview-dwarkesh-sholto_douglas__trenton_bricken.txt
/Users/home/Desktop/syncrescendence/SOURCES/raw/AGI/20250723-youtube_video-lex_fridman-demis_hassabis_475.txt,20250723-youtube_video-lex_fridman-demis_hassabis_475.txt,SOURCE-20250723-youtube-interview-lex-demis_hassabis_475.txt,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-20250723-youtube-interview-lex-demis_hassabis_475.txt
/Users/home/Desktop/syncrescendence/SOURCES/raw/AGI/20250522-youtube_video-dwarkesh_patel-sholto_douglas_&_trenton_bricken.md,20250522-youtube_video-dwarkesh_patel-sholto_douglas_&_trenton_bricken.md,SOURCE-20250522-youtube-interview-dwarkesh-sholto_douglas__trenton_bricken.md,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-20250522-youtube-interview-dwarkesh-sholto_douglas__trenton_bricken.md
/Users/home/Desktop/syncrescendence/SOURCES/raw/AGI/20250403-youtube_video-dwarkesh_patel-scott_alexander_&_daniel_kokotajlo.txt,20250403-youtube_video-dwarkesh_patel-scott_alexander_&_daniel_kokotajlo.txt,SOURCE-20250403-youtube-interview-dwarkesh-scott_alexander__daniel_kokotajlo.txt,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-20250403-youtube-interview-dwarkesh-scott_alexander__daniel_kokotajlo.txt
/Users/home/Desktop/syncrescendence/SOURCES/raw/AGI/20250723-youtube_video-lex_fridman-demis_hassabis_475.md,20250723-youtube_video-lex_fridman-demis_hassabis_475.md,SOURCE-20250723-youtube-interview-lex-demis_hassabis_475.md,/Users/home/Desktop/syncrescendence/SOURCES/raw/SOURCE-20250723-youtube-interview-lex-demis_hassabis_475.md
