model_id,model_name,provider,model_family,context_window,input_cost_per_mtok,output_cost_per_mtok,modalities,training_cutoff,release_date,status,description
TEXT,TEXT,TEXT,TEXT,INTEGER,DECIMAL,DECIMAL,TEXT,TEXT,DATE,TEXT,TEXT
# Sample records - actual import from Models.csv will populate this
MOD_CLS4,claude-sonnet-4-20250514,Anthropic,Claude 4,200000,3.00,15.00,text_vision_code,2025-01,2025-05-14,active,Smartest Sonnet with enhanced reasoning and coding
MOD_GPT4,gpt-4-turbo,OpenAI,GPT-4,128000,10.00,30.00,text_vision,2023-04,2024-04-09,active,Efficient GPT-4 with vision capabilities
MOD_GEM2,gemini-2.0-flash,Google,Gemini 2,1000000,0.00,0.00,text_vision_audio_video,2024-08,2024-12-11,active,Multimodal with 1M context window
MOD_DPV3,deepseek-v3,DeepSeek,DeepSeek,64000,0.27,1.10,text_code,2024-12,2024-12-25,active,Open-source with coding specialization
MOD_QW25,qwen-2.5-72b,Alibaba,Qwen,32000,0.35,0.45,text,2024-11,2024-11-30,active,Chinese language optimization
MOD_MID6,midjourney-v6,Midjourney,Midjourney,NULL,NULL,NULL,image,2024-01,2024-01-15,active,Premium aesthetic image generation
MOD_SD3,stable-diffusion-3,Stability,Stable Diffusion,NULL,NULL,NULL,image,2024-04,2024-06-12,active,Open-source image generation
MOD_EL11,elevenlabs-turbo-v2.5,ElevenLabs,ElevenLabs,NULL,NULL,NULL,audio,2024-10,2024-10-20,active,Ultra-realistic voice synthesis
MOD_SUN3,suno-v3.5,Suno,Suno,NULL,NULL,NULL,audio,2024-09,2024-09-10,active,Full song generation from text
MOD_VEO3,veo-3,Google,Veo,NULL,NULL,NULL,video,2024-11,2024-12-15,active,4K video generation platform
