config_id,config_name,config_type,value,unit,description,last_updated
TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TIMESTAMP
CFG_RSS_FREQ,RSS Check Frequency,schedule,4,hours,How often to scrape RSS feeds for discoveries,2025-01-15 10:00:00
CFG_VER_FREQ,Version Check Frequency,schedule,24,hours,How often to check entity versions,2025-01-15 10:00:00
CFG_USG_MIN,Usage Minimum Duration,threshold,60,seconds,Minimum session duration to log as meaningful,2025-01-15 10:00:00
CFG_APP_MIN,Apparatus Minimum Frequency,threshold,3,occurrences,Minimum pattern repetitions to crystallize apparatus,2025-01-15 10:00:00
CFG_APP_WIN,Apparatus Detection Window,threshold,30,days,Time window for pattern detection,2025-01-15 10:00:00
CFG_STL_THR,Staleness Threshold,threshold,180,days,Days without update to flag as potentially abandoned,2025-01-15 10:00:00
CFG_MOM_WIN,Momentum Calculation Window,threshold,90,days,Days to analyze for momentum signals,2025-01-15 10:00:00
CFG_DIS_LIM,Discovery Queue Daily Limit,threshold,10,entities,Maximum new discoveries to add per day,2025-01-15 10:00:00
CFG_DIG_TIME,Morning Digest Time,schedule,07:00,time,When to generate daily summary,2025-01-15 10:00:00
CFG_TRL_DUR,Trial Default Duration,threshold,14,days,Default evaluation period for new tools,2025-01-15 10:00:00
CFG_CTX_WIN,Context Detection Window,threshold,300,seconds,Seconds to aggregate for context inference,2025-01-15 10:00:00
CFG_LAT_MAX,Maximum Routing Latency,threshold,2,seconds,Maximum acceptable invocation delay,2025-01-15 10:00:00
