path,stratum,action_candidate,rationale,risk_level
CLAUDE.md,CONSTITUTIONAL,KEEP,Root constitution - authoritative,LOW
Makefile,RESOURCES,KEEP,Build/verification tool,LOW
BLITZKRIEG_44_DEPLOYMENT_GUIDE.md,ORPHAN,RELOCATE→05-ARCHIVE,Historical deployment guide - superseded,LOW
BLITZKRIEG_45_DEPLOYMENT_GUIDE.md,ORPHAN,RELOCATE→05-ARCHIVE,Historical deployment guide,LOW
CANON-31150-PLATFORM_CATALOG-lunar-ACUMEN-planetary-INFORMATION.md,ORPHAN,RELOCATE→01-CANON,Canon file at wrong level!,MEDIUM
DEEP_RESEARCH_PROMPT-Claude_Code_Ecosystem.md,ORPHAN,RELOCATE→04-SOURCES/raw,Research prompt,LOW
DEEP_RESEARCH_PROMPT-Google_Ecosystem.md,ORPHAN,RELOCATE→04-SOURCES/raw,Research prompt,LOW
DEEP_RESEARCH_PROMPT-OpenAI_Ecosystem.md,ORPHAN,RELOCATE→04-SOURCES/raw,Research prompt,LOW
DIRECTIVE-042A_IIC_FOUNDATION.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
DIRECTIVE-042B_MULTI_CLI.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
DIRECTIVE-042C_OPERATIONAL_HYGIENE.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
DIRECTIVE-042D_GEMINI_VALIDATION.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
DIRECTIVE-043A_CONSTELLATION_ARCHITECTURE.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
DIRECTIVE-043A_INFRASTRUCTURE_OPERATIONS.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive - duplicate 043A?,MEDIUM
DIRECTIVE-043B_CONTENT_STRATEGY.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive,LOW
DIRECTIVE-043B_OPERATIONAL_HYGIENE.md,ORPHAN,RELOCATE→00-ORCHESTRATION/directives,Misplaced directive - duplicate 043B?,MEDIUM
