platform_feature,account_scope,teleology,risks,prerequisites,when_to_use,low_hanging_now,deep_contrivance
claude_web_app_oracle,personal_icloud,"Strategic synthesis and directive generation for Syncrescendence architecture","context_loss_on_export;artifact_non_portable;memory_opacity","Claude Pro subscription;Syncrescendence project setup","Oracle synthesis sessions;Directive generation;Long-form strategic analysis",YES,NO
claude_web_app_extended_thinking,personal_icloud,"Deep reasoning for architectural decisions and complex analysis","high_token_cost;slow_response","Claude Pro subscription;Complex problem identified","Architecture decisions;Paradox resolution;Novel problem analysis",YES,NO
claude_web_app_artifacts,personal_icloud,"Downloadable artifact creation for handoff to repo","manual_download_required;no_direct_repo_write","Claude Pro subscription;Clear artifact spec","Creating documents for download;Generating structured outputs",YES,NO
claude_web_app_project_memory,personal_icloud,"Cross-session context persistence within project boundary","opaque_storage;non_exportable;drift_risk","Project created;Key docs in project knowledge","Long-running projects;Accumulated context needed",YES,NO
claude_code_cli_execution,hybrid_gmail,"Primary execution engine with filesystem sovereignty and git operations","context_overflow;session_fragmentation","Claude Code installed;CLAUDE.md configured","All file operations;Git commits;Directive execution",YES,NO
claude_code_sub_agents,hybrid_gmail,"Parallel specialist agents for exploration/planning/coding/review","coordination_overhead;context_boundaries","Claude Code configured;Understanding of agent roles","Large explorations;Parallel work streams;Background processing",YES,NO
claude_code_mcp_direct,hybrid_gmail,"Direct MCP server attachment for frequently-used tools","context_bloat_15k_per_server;version_dependency","MCP servers installed;mcp.json configured","Filesystem operations;GitHub operations (always needed)",YES,NO
claude_code_mcp_gateway,hybrid_gmail,"On-demand tool access via gateway CLI without context cost","setup_complexity;latency_overhead","Gateway CLI installed;Servers configured","Occasional tool use;Many available servers;Context-sensitive",NO,YES
chatgpt_planning,openai_icloud,"Long-horizon planning with structured specification output","memory_fragmentation;thinking_quota","ChatGPT Plus subscription;Clear objective","Plan packet creation;Specification writing;Acceptance criteria definition",YES,NO
chatgpt_audit,openai_icloud,"Critical evaluation of execution against plan","limited_repo_access;needs_packet_input","ChatGPT Plus subscription;Execution packet available","Post-execution verification;Drift analysis;Quality assessment",YES,NO
chatgpt_deep_research,openai_icloud,"Multi-pass external research with web synthesis","slow_2_4min;external_only;rate_limited","ChatGPT Plus subscription;Research query defined","Market research;Competitive analysis;External fact-finding",YES,NO
chatgpt_agent_mode,openai_icloud,"Autonomous web and desktop automation tasks","monthly_limit_40;action_visibility_unclear;prompt_injection_risk","ChatGPT Plus subscription;Clear automation target","Web form filling;Research aggregation;Repetitive web tasks",NO,YES
chatgpt_codex_cli,openai_icloud,"GitHub-integrated agentic coding for PR and issue work","github_only;no_local_repos","Codex CLI installed;GitHub repo access granted","GitHub PR reviews;Issue triage;GitHub-specific automation",NO,YES
chatgpt_canvas,openai_icloud,"Collaborative document editing surface for iteration","session_bound;no_repo_export","ChatGPT Plus subscription;Draft document identified","Specification drafting;Document iteration;Collaborative editing",YES,NO
gemini_corpus_sensing,google_gmail,"2M context corpus-scale analysis and video processing","personal_data_in_context;no_project_isolation;trains_on_input","Gemini Advanced subscription;Corpus files accessible","Large context analysis;Video processing;Corpus search",YES,NO
gemini_deep_research,google_gmail,"Multi-stage research with web synthesis and source gathering","slow_multi_minute;external_only","Gemini Advanced subscription;Research query","Deep external research;Source gathering;Web synthesis",YES,NO
gemini_personal_intelligence,google_gmail,"Proactive cross-service synthesis from Google ecosystem","all_data_visible;us_only;english_only","Gemini Advanced;US location;Full Google ecosystem","Personal productivity;Schedule synthesis;Email summarization",NO,YES
gemini_gems,google_gmail,"Custom AI agents with specific personas or capabilities","setup_required;limited_context","Gemini Advanced subscription;Gem configuration defined","Specialized recurring tasks;Custom agent personas",NO,YES
notebooklm_grounded_rag,google_gmail,"Zero-hallucination RAG with citations from uploaded sources","50_source_limit;upload_required;no_cross_notebook","Google account;Sources uploaded","Source verification;Historical archaeology;Grounded Q&A",YES,NO
