04001.jsonl	ai-coding		Most engineers who believe agents will be integrated into existing software development loops (tickets, GitHub pushes, CI, PR reviews, merges) are not thinking far enough ahead.
04002.md	ai-coding		Most engineers who believe agents will be integrated into existing software development loops (tickets, GitHub pushes, CI, PR reviews, merges) are not thinking far enough ahead.
04003.jsonl	philosophy-consciousness		The Science That Can End The AI Consciousness Debate | Integrated Information Theory Explained by Essentia Foundation. A interview covering science, end, consciousness.
04004.jsonl	philosophy-consciousness		The Science That Can End The AI Consciousness Debate | Integrated Information Theory Explained by Essentia Foundation. A interview covering science, end, consciousness.
04005.md	philosophy-consciousness		The Science That Can End The AI Consciousness Debate | Integrated Information Theory Explained by Essentia Foundation. A interview covering science, end, consciousness.
04006.jsonl	economics-investing	ai-coding	Debt Spiral or NEW Golden Age? Super Bowl Insider Trading, Booming Token Budgets, Ferrari's New EV by All-In Podcast. A tutorial covering debt, spiral, new.
04007.jsonl	economics-investing	ai-coding	Debt Spiral or NEW Golden Age? Super Bowl Insider Trading, Booming Token Budgets, Ferrari's New EV by All-In Podcast. A tutorial covering debt, spiral, new.
04008.md	economics-investing	ai-coding	Debt Spiral or NEW Golden Age? Super Bowl Insider Trading, Booming Token Budgets, Ferrari's New EV by All-In Podcast. A tutorial covering debt, spiral, new.
04009.jsonl	claude-code		How to Use Claude Cowork To Do EVERYTHING For You (Complete Guide) by Nick Puru | AI Automation. A tutorial covering use, claude, cowork.
04010.jsonl	claude-code		How to Use Claude Cowork To Do EVERYTHING For You (Complete Guide) by Nick Puru | AI Automation. A tutorial covering use, claude, cowork.
04011.md	claude-code		How to Use Claude Cowork To Do EVERYTHING For You (Complete Guide) by Nick Puru | AI Automation. A tutorial covering use, claude, cowork.
04012.jsonl	other-ai-tool		Give Me 13 Minutes. I'll Teach You 80% of NotebookLM by Linking Your Thinking with Nick Milo. A lecture covering give, minutes, teach.
04013.jsonl	other-ai-tool		Give Me 13 Minutes. I'll Teach You 80% of NotebookLM by Linking Your Thinking with Nick Milo. A lecture covering give, minutes, teach.
04014.md	other-ai-tool		Give Me 13 Minutes. I'll Teach You 80% of NotebookLM by Linking Your Thinking with Nick Milo. A lecture covering give, minutes, teach.
04015.jsonl	ai-business		I Just Did a Full Day of Analyst Work in 10 Minutes. The $120K Job Description Just Changed Forever. by AI News & Strategy Daily | Nate B Jones. A lecture covering just, full, day.
04016.jsonl	ai-business		I Just Did a Full Day of Analyst Work in 10 Minutes. The $120K Job Description Just Changed Forever. by AI News & Strategy Daily | Nate B Jones. A lecture covering just, full, day.
04017.md	ai-business		I Just Did a Full Day of Analyst Work in 10 Minutes. The $120K Job Description Just Changed Forever. by AI News & Strategy Daily | Nate B Jones. A lecture covering just, full, day.
04018.jsonl	ai-video		Seedance 2.0 Is Peak AI Video. We Tested It. Send Help. by AI For Humans. A lecture covering seedance, peak, video.
04019.jsonl	ai-video		Seedance 2.0 Is Peak AI Video. We Tested It. Send Help. by AI For Humans. A lecture covering seedance, peak, video.
04020.md	ai-video		Seedance 2.0 Is Peak AI Video. We Tested It. Send Help. by AI For Humans. A lecture covering seedance, peak, video.
04021.jsonl	ai-video	ai-coding	AI Video Just Went TOO FAR... NOT OK! by Wes Roth. A interview covering video, just, went.
04022.jsonl	ai-video	ai-coding	AI Video Just Went TOO FAR... NOT OK! by Wes Roth. A interview covering video, just, went.
04023.md	ai-video	ai-coding	AI Video Just Went TOO FAR... NOT OK! by Wes Roth. A interview covering video, just, went.
04024.jsonl	ai-video		Is This the Best AI Video Model in the World? by The AI Daily Brief: Artificial Intelligence News. A panel discussion covering best, video, model.
04025.jsonl	ai-video		Is This the Best AI Video Model in the World? by The AI Daily Brief: Artificial Intelligence News. A panel discussion covering best, video, model.
04026.md	ai-video		Is This the Best AI Video Model in the World? by The AI Daily Brief: Artificial Intelligence News. A panel discussion covering best, video, model.
04027.jsonl	ai-models		A new benchmark called SWE-rebench has revealed that many Chinese AI companies have been optimizing their models on popular evaluations and benchmarks, rather than genuinely improv
04028.jsonl	ai-models		A new benchmark called SWE-rebench has revealed that many Chinese AI companies have been optimizing their models on popular evaluations and benchmarks, rather than genuinely improv
04029.md	ai-models		A new benchmark called SWE-rebench has revealed that many Chinese AI companies have been optimizing their models on popular evaluations and benchmarks, rather than genuinely improv
