service,plan,monthly_cost,rate_limit,features,status,notes
Anthropic (Claude Max),subscription,100.00,unlimited,Claude Code CLI;Claude Desktop;agent teams;extended thinking;200k context,active,Account 1 (iCloud) - Commander primary
Anthropic (Claude Pro),subscription,20.00,rate-limited,Claude Web;Claude Desktop;artifacts;projects;200k context,active,Account 2 (Gmail alt) - parallel executor
OpenAI (ChatGPT Plus),subscription,20.00,rate-limited,GPT-5.3-codex;Canvas;memory;plugins;Codex CLI;DALL-E,active,Account 1 - Psyche/CTO agent
Google (AI Pro),subscription,20.00,rate-limited,Gemini 2.5 Pro;Gemini CLI;2M context;Gems;NotebookLM;Google Drive,active,Account 3 (Gmail) - Cartographer agent
NVIDIA NIM,free_tier,0.00,40 RPM,Kimi K2.5 inference;~1000 credits;model hosting,active,Evaluation tier - Ajna/CSO agent via API
Graphiti,self-hosted,0.00,unlimited,Knowledge graph;temporal awareness;entity extraction;Apache 2.0,active,Docker: Neo4j 5.26.0 (7474) + Graphiti API (8001)
Qdrant,self-hosted,0.00,unlimited,Vector database;similarity search;filtering;Apache 2.0,active,Docker port 6333 - MCP server connected
Neo4j,self-hosted,0.00,unlimited,Graph database;Cypher queries;APOC;community edition,active,Docker port 7474 - backing Graphiti
Chroma,self-hosted,0.00,unlimited,Vector database;embedding storage;local persistence,active,Port 8765 - legacy; Qdrant now primary
Ollama,self-hosted,0.00,unlimited,Local LLM inference;model management;REST API,active,Local model serving on both machines
Linear,free_tier,0.00,rate-limited,Issue tracking;projects;API;webhooks;team management,active,SYN workspace - T1a task management
ClickUp,free_tier,0.00,rate-limited,Task management;docs;views;API;automations,active,T1b workspace - non-repo work
Notion,free_tier,0.00,rate-limited,Databases;docs;API;integrations,active,Secondary knowledge platform
GitHub,free_tier,0.00,5000/hr,Repository hosting;Actions;API;PRs;Issues,active,Code hosting and CI/CD
Setapp,subscription,9.99,unlimited,200+ macOS apps;auto-updates;cross-platform,active,App subscription bundle
Perplexity,free_tier,0.00,rate-limited,AI search;citations;follow-ups;research,active,Verifier role - no paid plan
xAI (Grok),free_tier,0.00,rate-limited,Grok access;X firehose;real-time data,active,Red team role - Account 1
OpenClaw,self-hosted,0.00,unlimited,Agent gateway;memory;plugins;multi-model routing,active,Port 18789 on Mac mini
Tailscale,free_tier,0.00,100 devices,Mesh VPN;WireGuard;MagicDNS;SSH;subnet routing,active,Inter-machine networking
Homebrew,free_tier,0.00,unlimited,Package management;formulae;casks;services,active,318 formulae + 65 casks installed
