name,category,provider,tier,monthly_cost,capabilities,platform,install_method,notes
Claude Code,ai_agent,Anthropic,paid,100.00,code editing;filesystem access;MCP tools;extended thinking;agent teams,cli,brew,Claude Max plan - primary executor
Claude Desktop,ai_agent,Anthropic,paid,0.00,MCP apps;conversation;artifacts;analysis,desktop,brew cask,Included in Claude Max/Pro plans
ChatGPT,ai_agent,OpenAI,paid,20.00,canvas;memory;GPT-5.3 access;plugins;voice,desktop+web,brew cask,ChatGPT Plus - Account 1
Cursor,ai_ide,Anysphere,free,0.00,AI-assisted coding;multi-model;codebase indexing,desktop,brew cask,Layer 8 of Sovereign Cockpit
Ghostty,terminal,Mitchell Hashimoto,free,0.00,GPU-accelerated terminal;native macOS;ligatures,desktop,brew cask,Layer 1 of Sovereign Cockpit
Neovim,editor,Neovim Project,free,0.00,modal editing;LSP;treesitter;LazyVim config,cli,brew,Layer 5 of Sovereign Cockpit - /opt/homebrew/bin/nvim
tmux,multiplexer,tmux Project,free,0.00,session management;pane splitting;hooks;sesh integration,cli,brew,Layer 3 of Sovereign Cockpit
Emacs,editor,GNU,free,0.00,Doom Emacs;org-mode;observation layer,desktop,brew cask,Layer 7 of Sovereign Cockpit - dormant
Obsidian,knowledge_management,Obsidian,free,0.00,markdown vault;graph view;backlinks;plugins;community,desktop,brew cask,Primary knowledge base - Syncrescendence vault
Linear,project_management,Linear,free,0.00,issue tracking;projects;cycles;API;webhooks,desktop+web,brew cask,T1a task management - SYN workspace
ClickUp,project_management,ClickUp,free,0.00,task management;docs;views;API,desktop,brew cask,T1b task management - non-repo work
Notion,knowledge_management,Notion,free,0.00,databases;docs;API;templates,desktop,brew cask,Secondary knowledge platform
Figma,design,Figma,free,0.00,UI design;prototyping;components;plugins,desktop,brew cask,Design tool
Slack,communication,Salesforce,free,0.00,messaging;channels;bots;integrations,desktop,brew cask,Team communication
Discord,communication,Discord,free,0.00,voice chat;channels;bots;webhooks,desktop,brew cask,Community + OpenClaw integration
Raycast,productivity,Raycast,free,0.00,launcher;snippets;extensions;clipboard;window management,desktop,brew cask,Primary launcher replacing Spotlight
Docker Desktop,containerization,Docker,free,0.00,containers;compose;volumes;networking,desktop,brew cask,Neo4j + Graphiti + Qdrant containers
Brave Browser,browser,Brave,free,0.00,privacy;ad-blocking;crypto wallet;sync,desktop,brew cask,Primary browser
Google Chrome,browser,Google,free,0.00,DevTools;extensions;sync;profiles,desktop,brew cask,Secondary browser - DevTools MCP
Ollama,ai_local,Ollama,free,0.00,local LLM inference;model management;API,desktop+cli,brew cask,Local model serving
Gemini CLI,ai_agent,Google,paid,20.00,corpus sensing;2M context;evidence packs,cli,brew,Google AI Pro plan - Cartographer agent
Codex CLI,ai_agent,OpenAI,paid,0.00,GitHub-native;spec mode;code review,cli,npm,Included in ChatGPT Plus - Adjudicator agent
OpenClaw,ai_agent,OpenClaw,free,0.00,persistent agent;memory;plugins;multi-model gateway,cli,source,Port 18789 on Mac mini - Psyche/Ajna agents
gh,developer_tool,GitHub,free,0.00,GitHub CLI;PR management;issues;actions;API,cli,brew,GitHub operations
git,developer_tool,Git Project,free,0.00,version control;branching;worktrees,cli,brew,Core VCS
ripgrep,developer_tool,Andrew Galloway,free,0.00,fast regex search;type filtering;gitignore-aware,cli,brew,Primary search tool (rg)
fzf,developer_tool,Junegunn Choi,free,0.00,fuzzy finder;shell integration;preview,cli,brew,Interactive filtering
bat,developer_tool,bat Project,free,0.00,syntax-highlighted cat;git integration;paging,cli,brew,Enhanced file viewer
eza,developer_tool,eza Project,free,0.00,modern ls replacement;git status;icons,cli,brew,Enhanced directory listing
fd,developer_tool,fd Project,free,0.00,fast file finder;regex;gitignore-aware,cli,brew,Find replacement
jq,developer_tool,Stephen Dolan,free,0.00,JSON processor;filtering;transformation,cli,brew,JSON manipulation
yazi,developer_tool,yazi Project,free,0.00,terminal file manager;preview;async IO,cli,brew,TUI file manager
lazygit,developer_tool,lazygit Project,free,0.00,terminal git UI;staging;rebasing;stashing,cli,brew,Git TUI
starship,shell,Starship,free,0.00,cross-shell prompt;git info;context display,cli,brew,Layer 2 of Sovereign Cockpit (with zsh)
atuin,shell,Atuin,free,0.00,shell history sync;search;stats;encryption,cli,brew,Shell history management
zoxide,shell,zoxide Project,free,0.00,smart cd;frecency;fuzzy matching,cli,brew,Directory navigation
direnv,shell,direnv Project,free,0.00,directory-level env vars;auto-load/.envrc,cli,brew,Environment management
sesh,shell,sesh Project,free,0.00,tmux session manager;fuzzy switching,cli,brew,Layer 3 companion - tmux session management
mise,developer_tool,mise Project,free,0.00,runtime version manager;polyglot;env vars,cli,brew,Tool version management (node/python/go/etc)
whisper-cpp,ai_local,ggerganov,free,0.00,speech-to-text;local inference;fast,cli,brew,Layer 6 of Sovereign Cockpit
ffmpeg,media,FFmpeg Project,free,0.00,video/audio encoding;streaming;filters,cli,brew,Media processing backbone
yt-dlp,media,yt-dlp Project,free,0.00,video downloading;format selection;metadata,cli,brew,YouTube/media acquisition
Karabiner-Elements,input,Karabiner,free,0.00,keyboard remapping;complex modifications;profiles,desktop,brew cask,Input customization
Keyboard Maestro,automation,Stairways Software,paid,0.00,macro automation;triggers;clipboard;GUI scripting,desktop,brew cask,macOS automation (one-time purchase)
Hazel,automation,Noodlesoft,paid,0.00,folder watching;rules;file organization;scripting,desktop,brew cask,File automation
Tailscale,networking,Tailscale,free,0.00,mesh VPN;WireGuard;MagicDNS;SSH,desktop,native,Secure networking between machines
Setapp,app_store,MacPaw,paid,9.99,app subscription;200+ macOS apps,desktop,brew cask,App subscription service
Perplexity,ai_search,Perplexity AI,free,0.00,citation-backed search;research;follow-ups,desktop+web,native,Verifier role - research validation
DEVONthink,knowledge_management,DEVONtechnologies,paid,0.00,document management;AI classify;search;sync,desktop,brew cask,Document archive (one-time purchase)
Xcode,developer_tool,Apple,free,0.00,iOS/macOS development;Interface Builder;instruments,desktop,app_store,Apple development
awscli,cloud,Amazon,free,0.00,AWS management;S3;EC2;Lambda;IAM,cli,brew,AWS operations
terraform,infrastructure,HashiCorp,free,0.00,infrastructure as code;providers;state management,cli,brew,IaC tool
1Password,security,AgileBits,paid,0.00,password management;2FA;secret sharing;SSH keys,desktop+cli,brew cask,Password manager (family plan - one-time)
AltTab,window_management,AltTab,free,0.00,Windows-style alt-tab;window previews;keyboard switching,desktop,brew cask,Window switcher
AppCleaner,utility,FreeMacSoft,free,0.00,app uninstallation;leftover cleanup,desktop,brew cask,Clean app removal
BetterTouchTool,input,folivora.AI,setapp,0.00,trackpad gestures;window snapping;keyboard shortcuts;touch bar,desktop,setapp,Setapp keeper - input customization
Blender,3d_modeling,Blender Foundation,free,0.00,3D modeling;animation;rendering;video editing,desktop,brew cask,3D creation suite
Default Folder X,productivity,St. Clair Software,setapp,0.00,enhanced file dialogs;recent folders;favorites,desktop,setapp,Setapp keeper - file dialog enhancement
DockDoor,utility,Ethan Clauss,free,0.00,dock window previews;mouse hover,desktop,brew cask,Dock preview enhancement
Expressions,developer_tool,Apptorium,setapp,0.00,regex testing;visualization;reference,desktop,setapp,Setapp keeper - regex tool
Final Cut Pro,media,Apple,paid,0.00,professional video editing;effects;export,desktop,app_store,Apple video editor (one-time purchase)
ForkLift,developer_tool,BinaryNights,setapp,0.00,dual-pane file manager;SFTP;S3;cloud,desktop,setapp,Setapp keeper - file management
GitHub Desktop,developer_tool,GitHub,free,0.00,visual git;PR management;branch switching,desktop,brew cask,GUI git client
HandBrake,media,HandBrake Project,free,0.00,video transcoding;format conversion;presets,desktop,brew cask,Video transcoder
Hookmark,productivity,CogSci Apps,setapp,0.00,bidirectional linking;deep links;context hooks,desktop,setapp,Setapp keeper - cross-app linking
HuggingChat,ai_agent,Hugging Face,free,0.00,open-source chat;multiple models;web search,desktop,brew cask,Open-source AI chat
Ice,utility,Jordan Baird,free,0.00,menu bar management;icon hiding;reordering,desktop,brew cask,Menu bar declutter (replaces Bartender)
IINA,media,IINA,free,0.00,modern video player;mpv-based;PiP;dark mode,desktop,brew cask,Primary video player
ImageOptim,utility,Kornel,free,0.00,image compression;PNG/JPEG/GIF optimization,desktop,brew cask,Image optimization
iTerm2,terminal,George Nachman,free,0.00,terminal emulator;split panes;profiles;triggers,desktop,brew cask,Secondary terminal (Ghostty primary)
KeyClu,utility,KeyClu,free,0.00,keyboard shortcut overlay;hold command to view,desktop,brew cask,Shortcut discovery
Logic Pro,media,Apple,paid,0.00,professional audio production;MIDI;plugins;mixing,desktop,app_store,Apple audio workstation (one-time purchase)
Maccy,utility,Maccy,free,0.00,clipboard manager;history;search;pinning,desktop,brew cask,Primary clipboard manager
Milanote,knowledge_management,Milanote,free,0.00,visual boards;mood boards;collaboration,desktop,brew cask,Creative visual planning
NetNewsWire,information,Ranchero Software,free,0.00,RSS reader;feed management;sync,desktop,brew cask,RSS feed reader
Nitro PDF Pro,productivity,Nitro Software,setapp,0.00,PDF editing;annotation;OCR;conversion,desktop,setapp,Setapp keeper - PDF powerhouse
PixelSnap,design,PixelSnap,setapp,0.00,pixel measurement;spacing;screen ruler,desktop,setapp,Setapp keeper - pixel-perfect design
Presentify,productivity,Ram Ambastha,setapp,0.00,screen annotation;cursor highlight;drawing,desktop,setapp,Setapp keeper - presentation tool
Shottr,utility,Shottr,free,0.00,screenshot tool;annotation;OCR;scrolling capture,desktop,brew cask,Screenshot utility
Soulver,productivity,Acqualia,setapp,0.00,natural language calculator;variables;unit conversion,desktop,setapp,Setapp keeper - smart calculator
Things3,task_management,Cultured Code,paid,0.00,personal task management;areas;projects;tags,desktop,app_store,Personal GTD tool (one-time purchase)
Vivaldi,browser,Vivaldi Technologies,free,0.00,customizable browser;tab stacking;mail;calendar,desktop,brew cask,Tertiary browser
Zotero,research,Zotero,free,0.00,reference management;PDF annotation;citations;sync,desktop,brew cask,Academic reference manager
gcloud,cloud,Google,free,0.00,Google Cloud CLI;compute;storage;AI platform,cli,brew cask,Google Cloud operations
Airtable,database,Airtable,free,0.00,spreadsheet-database hybrid;views;automations;API,desktop,brew cask,Structured data surface (SYN-55)
