feature_id,feature_name,category,granularity,extractability,description
TEXT,TEXT,TEXT,TEXT,TEXT,TEXT
FEA_VIM,Vim Motions,interaction,pattern,high,Modal editing with hjkl navigation and text objects
FEA_WYSI,WYSIWYG,interface,paradigm,medium,Direct visual manipulation matching final output
FEA_MDL,Markdown Live Preview,interface,feature,high,Real-time rendering of markdown syntax
FEA_RTC,Real-time Collaboration,capability,feature,medium,Simultaneous multi-user editing with live cursors
FEA_VER,Version Control Integration,capability,feature,medium,Native git/svn operations within interface
FEA_CMD,Command Palette,interaction,pattern,high,Fuzzy-searchable action invocation
FEA_ZEN,Zen Mode,interface,feature,high,Distraction-free fullscreen composition environment
FEA_SPL,Smart Split View,interface,feature,medium,Intelligent pane arrangement and synchronization
FEA_SNP,Snippet Expansion,capability,feature,high,Text template insertion with variable substitution
FEA_LSP,Language Server Protocol,capability,integration,low,Standardized code intelligence across languages
FEA_HOT,Customizable Hotkeys,interaction,pattern,high,User-definable keyboard shortcut mapping
FEA_THM,Theme System,interface,feature,medium,Coherent visual customization frameworks
FEA_PLG,Plugin Architecture,capability,paradigm,low,Third-party extensibility infrastructure
FEA_MCP,MCP Integration,capability,integration,medium,Model Context Protocol server support
FEA_CLN,Calendar Sync,capability,integration,medium,Bidirectional calendar event synchronization
FEA_REM,Reminders Integration,capability,integration,medium,Native OS task manager connectivity
FEA_NOT,Notes Integration,capability,integration,medium,First-party notes app linking
FEA_BCK,Backlink Support,organization,pattern,high,Bidirectional reference between documents
FEA_TAG,Hierarchical Tags,organization,pattern,high,Nested categorical metadata systems
FEA_GRF,Graph View,interface,feature,medium,Network visualization of document relationships
FEA_TBL,Database Tables,organization,paradigm,medium,Structured relational data within documents
FEA_KAN,Kanban Boards,organization,feature,medium,Visual project management cards and columns
FEA_GAN,Gantt Charts,interface,feature,medium,Temporal project timeline visualization
FEA_FRM,Form Builder,capability,feature,medium,Structured data collection interface generation
FEA_API,REST API Access,capability,integration,high,Programmatic entity manipulation
FEA_WBH,Webhook Support,capability,integration,high,Event-triggered external notifications
FEA_OCR,OCR Processing,capability,transformation,high,Image-to-text conversion
FEA_TTS,Text-to-Speech,capability,transformation,high,Natural voice synthesis from text
FEA_STT,Speech-to-Text,capability,transformation,high,Dictation and transcription
FEA_OFF,Offline Mode,capability,feature,medium,Full functionality without network connectivity
FEA_E2E,End-to-End Encryption,security,feature,medium,Zero-knowledge client-side encryption
FEA_2FA,Two-Factor Auth,security,feature,medium,Multi-factor authentication support
FEA_SSO,Single Sign-On,security,integration,medium,OAuth/SAML identity federation
FEA_AUD,Audit Logs,security,feature,medium,Comprehensive action history tracking
FEA_PER,Per-User Permissions,security,feature,medium,Granular access control systems
FEA_VRS,Version History,capability,feature,high,Temporal snapshots with reversion capability
FEA_COM,Commenting System,collaboration,feature,high,Inline discussion and annotation
FEA_SHR,Shareable Links,collaboration,feature,high,Persistent public/private URL generation
FEA_EXP,Export Flexibility,capability,transformation,high,Multiple output format support
FEA_IMP,Import Compatibility,capability,transformation,high,Multiple input format handling
