relationship_id,relationship_name,directionality,transitivity,description,routing_impact
TEXT,TEXT,TEXT,TEXT,TEXT,TEXT
REL_POW,Powers,directed,transitive,Model or service enables another entity,high
REL_REQ,Requires,directed,transitive,Entity depends on another for functionality,high
REL_COM,Competes,symmetric,non_transitive,Entities serve similar capabilities in same niche,medium
REL_OBS,Obsoletes,directed,non_transitive,Entity supersedes another's functionality,high
REL_CMB,Combines,symmetric,non_transitive,Entities work synergistically when used together,medium
REL_ALT,Alternates,symmetric,non_transitive,Entities substitute contextually,low
REL_EXT,Extends,directed,transitive,Entity adds capabilities to another,medium
REL_INT,Integrates,symmetric,non_transitive,Native technical connection between entities,high
REL_ECO,Ecosystem,symmetric,non_transitive,Entities share common platform or developer,low
